world_rank,institution,country,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,year
204,University of Erlangen-Nuremberg,Germany,0.0526,0.6284,0.977,1.0,0.1752,0.203,0.1788,0.1331,0.4138,0.0597,2015
205,University of Münster,Germany,0.057,0.306,0.742,0.7972,0.1692,0.1929,0.1665,0.1732,0.2195,0.0593,2015
206,Aix-Marseille University,France,0.0351,0.5929,0.7951,1.0,0.1181,0.0869,0.2232,0.1962,0.2632,0.0588,2015
207,Claude Bernard University Lyon 1,France,0.0395,1.0,1.0,1.0,0.1311,0.1212,0.2873,0.1832,0.1724,0.0588,2015
208,University of Bologna,Italy,0.0132,0.9536,0.6131,1.0,0.1351,0.2828,0.2602,0.1602,0.4057,0.0582,2015
209,Queen Mary University of London,United Kingdom,0.0702,0.3989,0.5618,1.0,0.2252,0.1758,0.2602,0.1371,0.292,0.0577,2015
210,Dresden University of Technology,Germany,0.0614,1.0,1.0,1.0,0.1872,0.2131,0.1788,0.1942,0.1161,0.0577,2015
211,Sungkyunkwan University,South Korea,0.0263,1.0,0.3958,1.0,0.1932,0.3192,0.1973,0.2693,0.0782,0.0566,2015
212,Newcastle University,United Kingdom,0.0746,1.0,0.3905,1.0,0.1912,0.1596,0.2873,0.1582,0.4184,0.0563,2015
213,Karlsruhe Institute of Technology,Germany,0.0658,0.9699,0.3657,0.5991,0.1922,0.2818,0.1788,0.2462,0.1172,0.0559,2015
214,"University of California, Riverside",USA,0.386,0.6721,1.0,1.0,0.2082,0.1131,0.1973,0.1682,0.2218,0.0556,2015
215,University of Kiel,Germany,0.0702,0.5246,0.8587,0.9078,0.2312,0.1838,0.1973,0.1421,0.3552,0.0552,2015
216,University of Western Australia,Australia,0.0263,0.4235,0.5389,0.6636,0.1451,0.1818,0.4525,0.1782,0.4575,0.055,2015
217,Paris Descartes University,France,0.0439,0.5519,1.0,1.0,0.1762,0.1424,0.3527,0.1552,0.5218,0.0543,2015
218,University of Connecticut,USA,0.3904,0.806,0.4558,1.0,0.1672,0.1939,0.2417,0.1892,0.2126,0.0543,2015
219,University of Massachusetts Amherst,USA,0.3947,0.5765,0.2473,0.7281,0.1972,0.1919,0.2602,0.1992,0.408,0.0541,2015
220,Chinese University of Hong Kong,Hong Kong,0.0044,0.2705,0.8445,0.53,0.1612,0.3586,0.2602,0.2082,0.192,0.0541,2015
221,University of Turin,Italy,0.0175,0.8579,0.7933,0.7465,0.2052,0.2798,0.2417,0.1491,0.7034,0.0539,2015
222,University of Manitoba,Canada,0.0395,0.4262,0.1625,0.7097,0.2603,0.3101,0.2602,0.2553,0.2,0.0539,2015
223,University of Vienna,Austria,0.0,0.5191,0.3251,0.4608,0.2302,0.1545,0.1973,0.1992,0.7701,0.0538,2015
224,University of Montpellier,France,0.0482,0.7869,0.8145,0.7742,0.1642,0.1293,0.1788,0.1832,0.5862,0.0532,2015
225,Maastricht University,Netherlands,0.0307,1.0,1.0,1.0,0.1842,0.3566,0.2873,0.1552,0.3218,0.0532,2015
226,National Cheng Kung University,Taiwan,0.0044,1.0,0.0901,1.0,0.1632,0.4889,1.0,0.3874,0.5,0.0527,2015
227,"University of Tennessee, Knoxville",USA,0.3991,0.8689,0.2049,1.0,0.1952,0.1879,0.2417,0.2182,0.5149,0.0525,2015
228,Complutense University of Madrid,Spain,0.0044,0.2322,0.1184,0.9816,0.2142,0.3111,0.4525,0.3343,0.2931,0.0525,2015
229,Laval University,Canada,0.0439,0.7951,0.4806,1.0,0.2062,0.2717,0.2232,0.1992,0.1598,0.0523,2015
230,RWTH Aachen University,Germany,0.0746,0.9727,0.4187,0.5991,0.1962,0.3616,0.2232,0.2182,0.1805,0.0514,2015
231,Université catholique de Louvain,Belgium,0.0132,1.0,0.4647,0.4424,0.2823,0.3273,0.1406,0.2122,0.2701,0.0513,2015
232,North Carolina State University,USA,0.4035,0.6831,0.4011,1.0,0.1562,0.2071,0.2232,0.2412,0.1839,0.0513,2015
233,Johannes Gutenberg University of Mainz,Germany,0.0789,1.0,1.0,0.8894,0.2092,0.1859,0.1973,0.1632,0.6,0.0511,2015
234,University of Texas Health Science Center at San Antonio,USA,0.4079,1.0,1.0,1.0,0.3133,0.2303,0.2417,0.1391,0.3609,0.0511,2015
235,Julius-Maximilian's University of Würzburg,Germany,0.0833,0.2869,0.689,0.7696,0.2152,0.1798,0.3527,0.1782,0.423,0.0506,2015
236,Paul Sabatier University - Toulouse III,France,0.0526,1.0,1.0,1.0,0.1572,0.102,0.3946,0.1872,0.5897,0.0498,2015
237,University of Gothenburg,Sweden,0.0219,0.6995,0.5177,0.53,0.2162,0.198,0.1665,0.1962,1.0,0.0495,2015
238,University College Dublin,Ireland,0.0044,0.6557,0.1961,1.0,0.2873,0.2869,0.1566,0.2462,0.3184,0.0495,2015
239,University of Science and Technology of China,China,0.0219,1.0,0.3375,1.0,0.1271,0.2707,0.4525,0.2462,0.5184,0.0484,2015
240,University of Leicester,United Kingdom,0.0789,1.0,1.0,1.0,0.2573,0.1394,0.2417,0.1692,0.4414,0.0482,2015
241,Autonomous University of Barcelona,Spain,0.0088,1.0,1.0,1.0,0.1431,0.2212,0.3243,0.2122,0.3172,0.0482,2015
242,University of Dundee,United Kingdom,0.0833,0.4836,1.0,1.0,0.3534,0.201,0.1973,0.1752,0.2471,0.0475,2015
243,Norwegian University of Science and Technology,Norway,0.0044,0.6858,0.2085,0.341,0.2783,0.3687,0.2602,0.2723,0.3747,0.0473,2015
244,Nanjing University,China,0.0263,0.9317,0.6378,1.0,0.1331,0.3606,0.2873,0.2643,0.1874,0.0463,2015
245,Okayama University,Japan,0.0439,1.0,0.5071,1.0,0.3524,0.3374,0.3527,0.3173,0.0678,0.0459,2015
246,London School of Hygiene & Tropical Medicine,United Kingdom,0.0877,1.0,1.0,0.7281,0.2993,0.296,0.3243,0.1632,0.8448,0.0459,2015
247,University of Florence,Italy,0.0219,0.8907,0.5742,0.4286,0.2172,0.2768,0.2417,0.2262,0.6471,0.0457,2015
248,University of Cape Town,South Africa,0.0044,0.2814,0.2208,0.6682,0.3183,0.2374,0.2873,0.2643,0.3069,0.0457,2015
249,University of Texas Health Science Center at Houston,USA,0.4123,1.0,1.0,0.7097,0.2563,0.1626,0.2602,0.1892,0.3862,0.0454,2015
250,Moscow Institute of Physics and Technology,Russia,0.0044,0.0601,0.5972,1.0,0.9489,0.6101,1.0,1.0,0.9632,0.0452,2015
251,University of Düsseldorf,Germany,0.0877,0.5027,1.0,1.0,0.2963,0.2101,0.2232,0.1772,0.5207,0.045,2015
252,Florida State University,USA,0.4167,1.0,0.5883,1.0,0.1992,0.1848,0.1665,0.2242,0.4713,0.0448,2015
253,University of Sussex,United Kingdom,0.0921,0.4098,0.4523,0.2581,0.3584,0.2515,0.1973,0.3073,0.6345,0.0441,2015
254,Thomas Jefferson University,USA,0.4211,0.429,1.0,1.0,0.3323,0.3364,0.1973,0.1782,0.5759,0.0438,2015
255,Delft University of Technology,Netherlands,0.0351,0.8361,0.5283,1.0,0.2232,0.2253,0.3243,0.2462,0.1667,0.0436,2015
256,Virginia Polytechnic Institute and State University,USA,0.4254,0.7705,0.2668,1.0,0.2002,0.2657,0.2873,0.2843,0.2069,0.0436,2015
257,University of Lisbon,Portugal,0.0,0.918,0.8198,0.6959,0.1542,0.298,0.2417,0.2503,0.5678,0.0431,2015
258,Drexel University,USA,0.4298,1.0,0.4099,1.0,0.3614,0.3404,0.3527,0.2723,0.1034,0.0431,2015
259,Virginia Commonwealth University,USA,0.4342,1.0,0.7102,0.6866,0.2633,0.2545,0.3946,0.2122,0.2356,0.0431,2015
260,Oregon State University,USA,0.4386,0.5137,0.4205,1.0,0.2623,0.1485,0.1973,0.2342,0.446,0.0429,2015
261,Durham University,United Kingdom,0.0965,0.3579,0.47,0.53,0.2472,0.2,0.2417,0.2412,0.5276,0.0429,2015
262,University of Tsukuba,Japan,0.0482,0.5492,1.0,0.4885,0.2292,0.2566,0.2602,0.2412,0.2437,0.0427,2015
263,University of Reading,United Kingdom,0.1009,0.7022,0.1095,1.0,0.3994,0.3495,0.2232,0.3604,0.7644,0.0425,2015
264,Lehigh University,USA,0.443,1.0,0.0813,1.0,0.6146,0.5465,0.6289,0.5105,0.6126,0.0425,2015
265,Medical University of Vienna,Austria,0.0044,1.0,1.0,1.0,0.2503,0.2293,0.2602,0.1962,0.4195,0.0423,2015
266,University of Auckland,New Zealand,0.0,0.6393,0.7385,1.0,0.2523,0.2616,0.2873,0.2553,0.1425,0.0422,2015
267,University of Kentucky,USA,0.4474,0.9044,0.5106,1.0,0.1812,0.2172,0.3946,0.2302,0.5126,0.042,2015
268,University of Naples Federico II,Italy,0.0263,0.9016,0.8092,1.0,0.1742,0.3263,0.2873,0.2262,0.9092,0.0418,2015
269,University of Waterloo,Canada,0.0482,1.0,0.2173,1.0,0.1892,0.3354,0.2873,0.2913,0.7184,0.0414,2015
270,Charles University in Prague,Czech Republic,0.0,0.6475,0.9876,0.53,0.2272,0.2394,0.2232,0.2262,0.7299,0.0411,2015
271,Colorado State University - Fort Collins,USA,0.4518,0.5738,0.8693,0.6774,0.2432,0.204,0.2873,0.2302,0.2943,0.0411,2015
272,Tulane University,USA,0.4561,0.8825,0.2527,1.0,0.3644,0.301,0.3243,0.2503,0.2954,0.0409,2015
273,"University at Buffalo, The State University of New York",USA,0.4605,1.0,0.7014,1.0,0.2022,0.3,0.3527,0.2342,0.2713,0.0407,2015
274,Brandeis University,USA,0.4649,0.1366,0.6025,0.3548,0.5485,0.196,0.5265,0.3293,0.2851,0.0406,2015
275,Northeastern University,USA,0.4693,0.8607,0.2191,1.0,0.3694,0.3141,0.3243,0.3614,0.0977,0.0406,2015
276,Wageningen University and Research Centre,Netherlands,0.0395,0.7978,0.9028,0.8018,0.2132,0.1687,0.2873,0.2342,0.5471,0.04,2015
277,Sun Yat-sen University,China,0.0307,1.0,0.447,1.0,0.1602,0.396,0.3527,0.2843,0.2529,0.0398,2015
278,University of Ulm,Germany,0.0921,1.0,0.8304,0.5991,0.2893,0.2323,0.3946,0.2082,0.6816,0.0397,2015
279,London School of Economics,United Kingdom,0.1053,0.2104,0.1131,0.4147,0.5025,0.7455,0.3243,0.5896,1.0,0.0393,2015
280,Vrije Universiteit Brussel,Belgium,0.0175,0.2978,1.0,1.0,0.2933,0.303,0.1973,0.2302,0.5805,0.0391,2015
281,University of Delaware,USA,0.4737,0.8661,0.5936,0.6175,0.2713,0.3061,0.2873,0.2913,0.1368,0.0391,2015
282,Rensselaer Polytechnic Institute,USA,0.4781,0.3716,0.2491,1.0,0.4014,0.3485,0.2232,0.2913,0.2402,0.0388,2015
283,University of Bergen,Norway,0.0088,1.0,1.0,1.0,0.2282,0.202,0.2602,0.2262,1.0,0.0386,2015
284,Queen's University,Canada,0.0526,0.877,0.2721,1.0,0.2533,0.2758,0.3243,0.2803,0.3149,0.0386,2015
285,University of Aberdeen,United Kingdom,0.1096,0.9809,0.553,0.9124,0.2723,0.2081,0.3527,0.2242,0.4839,0.0384,2015
286,Dalhousie University,Canada,0.057,1.0,0.2403,1.0,0.2793,0.2485,0.3243,0.2723,0.4402,0.0384,2015
287,Umeå University,Sweden,0.0263,1.0,1.0,1.0,0.2743,0.199,0.2602,0.2182,1.0,0.0379,2015
288,University of Duisburg-Essen,Germany,0.0965,1.0,0.8781,1.0,0.2863,0.2838,0.3946,0.2152,0.3989,0.0377,2015
289,City College of New York,USA,0.4825,0.082,0.3286,1.0,0.6797,0.4253,0.6289,0.5896,0.4103,0.0375,2015
290,Hiroshima University,Japan,0.0526,1.0,1.0,1.0,0.3033,0.2889,0.5265,0.2723,0.1276,0.0375,2015
291,University of Texas at San Antonio,USA,0.4868,1.0,1.0,1.0,0.4444,0.3788,0.2417,0.2152,0.2908,0.0372,2015
292,Hannover Medical School,Germany,0.1009,1.0,1.0,1.0,0.3213,0.2465,0.3527,0.2182,0.3529,0.0366,2015
293,University of Warwick,United Kingdom,0.114,0.571,0.7827,0.53,0.2042,0.2404,0.1973,0.3073,0.2678,0.0363,2015
294,University of Valencia,Spain,0.0132,1.0,0.8286,1.0,0.2072,0.3505,0.3243,0.2553,0.6287,0.0359,2015
295,University of Pisa,Italy,0.0307,0.7432,0.8339,1.0,0.2262,0.3626,0.2602,0.2543,0.6057,0.0359,2015
296,Ruhr University Bochum,Germany,0.1053,1.0,0.4134,1.0,0.2352,0.2364,0.4525,0.2643,0.9149,0.0354,2015
297,Medical College of Wisconsin,USA,0.4912,1.0,1.0,1.0,0.3363,0.2859,0.3946,0.2182,0.7563,0.0348,2015
298,University of Louisville,USA,0.4956,1.0,0.8534,1.0,0.3373,0.4081,0.4525,0.2993,0.1195,0.0348,2015
299,University of Bordeaux,France,0.057,0.9645,1.0,1.0,0.2903,0.2667,0.2873,0.2503,0.3402,0.0347,2015
300,University of South Carolina - Columbia,USA,0.5,1.0,0.5265,0.8479,0.2613,0.3697,0.1788,0.2723,0.7448,0.0345,2015
301,National and Kapodistrian University of Athens,Greece,0.0,1.0,0.3516,1.0,0.2442,0.4192,0.5265,0.2723,1.0,0.0343,2015
302,Leipzig University,Germany,0.1096,0.888,1.0,0.9539,0.2803,0.2677,0.6289,0.2412,0.4172,0.0343,2015
303,Medical University of South Carolina,USA,0.5044,1.0,1.0,1.0,0.3153,0.3667,0.3527,0.2302,0.5828,0.0343,2015
304,Autonomous University of Madrid,Spain,0.0175,1.0,0.811,1.0,0.2242,0.2576,0.3946,0.2613,0.508,0.0339,2015
305,Dalian University of Technology,China,0.0351,1.0,0.182,1.0,0.3123,0.6727,0.6289,0.4084,0.1494,0.0339,2015
306,Stellenbosch University,South Africa,0.0088,1.0,0.1148,1.0,0.5195,0.5071,0.3946,0.4855,0.2506,0.0339,2015
307,Kyungpook National University,South Korea,0.0307,1.0,0.7261,1.0,0.3544,0.6303,0.3946,0.4124,0.0747,0.0339,2015
308,University of Porto,Portugal,0.0044,0.2541,0.5565,0.4101,0.2653,0.3828,0.3243,0.3403,0.4644,0.0338,2015
309,University of St Andrews,United Kingdom,0.1184,0.3934,0.8922,1.0,0.3073,0.1889,0.3946,0.2803,0.2161,0.0334,2015
310,Gwangju Institute of Science and Technology,South Korea,0.0351,1.0,1.0,1.0,0.5395,0.5424,0.4525,0.5285,0.0609,0.0332,2015
311,Chulalongkorn University,Thailand,0.0,1.0,0.0989,1.0,0.5836,0.7404,0.6289,0.5576,1.0,0.0329,2015
312,University of Antwerp,Belgium,0.0219,1.0,1.0,1.0,0.2643,0.3091,0.2873,0.2643,0.4264,0.0325,2015
313,Xiamen University,China,0.0395,1.0,0.1396,1.0,0.3303,0.497,0.7941,0.4084,0.5356,0.0323,2015
314,University of Nebraska–Lincoln,USA,0.5088,0.4481,0.364,1.0,0.2773,0.2636,0.2873,0.3103,0.523,0.0318,2015
315,Nankai University,China,0.0439,0.9098,0.2367,1.0,0.2813,0.4576,0.3946,0.3333,0.4805,0.0318,2015
316,University of Stuttgart,Germany,0.114,0.2213,0.3021,1.0,0.3984,0.3717,0.6289,0.3343,0.431,0.0316,2015
317,University of Rome Tor Vergata,Italy,0.0351,1.0,0.9823,1.0,0.2663,0.2737,0.3527,0.2613,0.9368,0.0316,2015
318,University of Regensburg,Germany,0.1184,1.0,0.5336,1.0,0.3013,0.2424,0.3527,0.2693,0.5989,0.0316,2015
319,Hong Kong University of Science and Technology,Hong Kong,0.0088,1.0,0.6325,1.0,0.2553,0.4697,0.4525,0.2993,0.2115,0.0313,2015
320,Kobe University,Japan,0.057,0.2568,0.4223,0.53,0.3674,0.2727,0.3946,0.3343,0.3448,0.0307,2015
321,University of Liège,Belgium,0.0263,0.388,1.0,0.659,0.3163,0.2192,0.2873,0.2993,0.3264,0.0305,2015
322,Federal University of Rio de Janeiro,Brazil,0.0044,0.3388,0.2032,1.0,0.3043,0.3323,0.7941,0.3804,0.3379,0.0304,2015
323,Rush University,USA,0.5132,1.0,1.0,1.0,0.4264,0.4071,0.2417,0.2593,1.0,0.0302,2015
324,University of Vermont,USA,0.5175,0.5383,0.4505,1.0,0.3564,0.2899,0.4525,0.2843,0.4552,0.03,2015
325,University of York,United Kingdom,0.1228,1.0,1.0,1.0,0.2693,0.2061,0.1973,0.2993,0.4655,0.0298,2015
326,Boston College,USA,0.5219,1.0,0.1696,1.0,0.5566,0.3657,0.2417,0.4014,0.4425,0.0291,2015
327,University of Pavia,Italy,0.0395,0.8033,0.6696,0.9816,0.3293,0.3838,0.3243,0.2723,0.7805,0.0289,2015
328,University of Jena,Germany,0.1228,1.0,1.0,1.0,0.2593,0.2646,0.3946,0.2883,0.5241,0.0289,2015
329,Vita-Salute San Raffaele University,Italy,0.0439,1.0,1.0,1.0,0.4775,0.2808,0.3946,0.2593,1.0,0.0284,2015
330,University of Genoa,Italy,0.0482,1.0,1.0,1.0,0.2983,0.4051,0.2873,0.2843,0.6161,0.0284,2015
331,Tianjin University,China,0.0482,1.0,0.1343,1.0,0.3473,0.9424,0.5265,0.6056,0.2805,0.0284,2015
332,Louisiana State University - Baton Rouge,USA,0.5263,0.735,0.311,1.0,0.2913,0.2162,0.2417,0.3524,0.5253,0.0284,2015
333,University of Exeter,United Kingdom,0.1272,0.7186,0.8481,1.0,0.2923,0.1747,0.5265,0.2943,0.4046,0.028,2015
334,National Autonomous University of Mexico,Mexico,0.0,0.7678,0.9629,1.0,0.1982,0.2202,0.4525,0.3293,0.5575,0.0279,2015
335,University of Adelaide,Australia,0.0307,0.5956,0.7845,1.0,0.2332,0.2444,0.3527,0.3173,0.5333,0.0279,2015
336,University of East Anglia,United Kingdom,0.1316,0.5601,1.0,0.8203,0.3483,0.2121,0.1788,0.3123,0.5736,0.0279,2015
337,York University,Canada,0.0614,1.0,0.1855,1.0,0.3814,0.4111,0.3243,0.3874,1.0,0.0275,2015
338,University of Navarra,Spain,0.0219,1.0,0.1325,1.0,0.5776,0.7283,0.6289,0.5025,0.7402,0.0275,2015
339,University of Oregon,USA,0.5307,0.9426,1.0,1.0,0.3774,0.2182,0.1973,0.2943,0.8368,0.0273,2015
340,"St George's, University of London",United Kingdom,0.136,1.0,1.0,1.0,0.5536,0.4798,0.4525,0.2613,0.7437,0.0273,2015
341,Indian Institute of Technology Delhi,India,0.0,1.0,0.1025,1.0,0.6346,0.9515,1.0,0.7808,0.7172,0.0272,2015
342,University of Trieste,Italy,0.0526,1.0,0.7809,1.0,0.3944,0.2879,0.3527,0.2803,0.7069,0.0272,2015
343,Queen's University Belfast,United Kingdom,0.1404,0.4973,0.682,1.0,0.3053,0.2778,0.3243,0.3123,0.4322,0.027,2015
344,University of Perugia,Italy,0.057,1.0,1.0,0.53,0.3744,0.3343,0.5265,0.2883,0.7368,0.027,2015
345,Technical University of Berlin,Germany,0.1272,0.2295,0.477,1.0,0.3594,0.4152,0.4525,0.3874,0.2023,0.0268,2015
346,University of Marburg,Germany,0.1316,0.8279,1.0,0.9954,0.3283,0.2505,0.5265,0.2993,0.3103,0.0266,2015
347,University of Innsbruck,Austria,0.0088,0.5355,0.6996,0.5115,0.4294,0.2232,0.3527,0.3103,0.5069,0.0266,2015
348,Eindhoven University of Technology,Netherlands,0.0439,1.0,0.6113,0.8525,0.3053,0.5535,0.3946,0.3173,0.3195,0.0266,2015
349,Ben-Gurion University of the Negev,Israel,0.0175,1.0,1.0,1.0,0.2763,0.3818,0.5265,0.3804,0.1345,0.0263,2015
350,University of Oklahoma - Norman Campus,USA,0.5351,1.0,0.2633,1.0,0.3824,0.2414,0.2873,0.3614,0.5437,0.0263,2015
351,Wesleyan University,USA,0.5395,0.418,0.106,1.0,0.983,0.5101,1.0,0.8498,1.0,0.0261,2015
352,University of Victoria,Canada,0.0658,1.0,1.0,1.0,0.3203,0.3303,0.2873,0.2993,0.9793,0.0261,2015
353,Kansas State University,USA,0.5439,0.3525,0.4028,1.0,0.3724,0.3222,0.2602,0.3574,0.3368,0.0259,2015
354,Hong Kong Polytechnic University,Hong Kong,0.0132,1.0,0.2915,1.0,0.2583,0.7707,0.6289,0.3744,0.377,0.0259,2015
355,Linköping University,Sweden,0.0307,1.0,0.417,1.0,0.3223,0.404,0.4525,0.3233,1.0,0.0259,2015
356,University of Southern Denmark,Denmark,0.0132,1.0,1.0,1.0,0.3854,0.3293,0.3946,0.2943,0.3667,0.0257,2015
357,University of Otago,New Zealand,0.0044,1.0,0.6643,1.0,0.3113,0.3556,0.3527,0.3123,0.6218,0.0254,2015
358,Justus Liebig University Giessen,Germany,0.136,1.0,1.0,1.0,0.3313,0.3596,0.3243,0.3123,0.354,0.0252,2015
359,University of New Hampshire,USA,0.5482,1.0,0.5601,0.3594,0.5305,0.2747,0.2873,0.3614,0.6839,0.025,2015
360,College of William and Mary,USA,0.5526,1.0,0.1484,1.0,0.6106,0.4626,0.3946,0.5105,0.9287,0.025,2015
361,San Diego State University,USA,0.557,0.6749,0.3587,1.0,0.4665,0.304,0.3243,0.3383,0.5839,0.0248,2015
362,Simon Fraser University,Canada,0.0702,1.0,1.0,1.0,0.2833,0.3051,0.4525,0.3233,0.4368,0.0247,2015
363,University of Santiago de Compostela,Spain,0.0263,1.0,0.8622,1.0,0.3844,0.6051,0.3527,0.3724,0.1437,0.0247,2015
364,Saint Louis University,USA,0.5614,1.0,0.4594,0.9263,0.4575,0.2949,0.5265,0.3293,0.3276,0.0245,2015
365,Colorado School of Mines,USA,0.5658,1.0,0.1413,1.0,0.6677,0.6061,0.3946,0.5646,0.792,0.0245,2015
366,University of Eastern Finland,Finland,0.0044,1.0,1.0,1.0,0.3734,0.3909,0.3946,0.2993,0.9885,0.0241,2015
367,University of Buenos Aires,Argentina,0.0,0.3415,0.8816,0.8249,0.2753,0.3525,0.3946,0.3433,1.0,0.0241,2015
368,University of Guelph,Canada,0.0746,1.0,0.8516,1.0,0.3243,0.2788,0.1788,0.3433,0.5103,0.0239,2015
369,University of Ferrara,Italy,0.0614,1.0,1.0,1.0,0.4154,0.3949,0.3527,0.2993,0.7529,0.0239,2015
370,Polytechnic University of Catalonia,Spain,0.0307,1.0,0.5813,1.0,0.3704,0.5808,0.4525,0.5395,0.0966,0.0239,2015
371,Versailles Saint-Quentin-en-Yvelines University,France,0.0614,1.0,1.0,1.0,0.4424,0.2333,0.3243,0.3073,0.9632,0.0239,2015
372,Saarland University,Germany,0.1404,1.0,0.6608,1.0,0.3914,0.4374,0.5265,0.3173,0.4207,0.0234,2015
373,City University of Hong Kong,Hong Kong,0.0175,1.0,1.0,1.0,0.2513,0.8818,0.6289,0.3383,0.4437,0.0234,2015
374,Darmstadt University of Technology,Germany,0.1447,0.1776,0.606,1.0,0.3754,0.4606,0.4525,0.4124,0.3782,0.0232,2015
375,Pompeu Fabra University,Spain,0.0351,1.0,1.0,1.0,0.3964,0.1646,0.5265,0.3173,0.6931,0.023,2015
376,Pontifical Catholic University of Chile,Chile,0.0,0.9344,0.2438,1.0,0.4454,0.3121,0.7941,0.3874,0.454,0.023,2015
377,University of Bari Aldo Moro,Italy,0.0658,1.0,1.0,1.0,0.3514,0.3242,0.6289,0.3123,0.6046,0.023,2015
378,University of Texas Medical Branch at Galveston,USA,0.5702,1.0,1.0,1.0,0.4004,0.3131,0.3946,0.3233,0.3816,0.0229,2015
379,University of Delhi,India,0.0044,0.653,0.1254,1.0,0.7027,0.7697,1.0,0.7958,0.9149,0.0229,2015
380,"Washington State University, Pullman",USA,0.5746,1.0,0.53,0.5991,0.3333,0.2354,0.5265,0.3614,0.3414,0.0227,2015
381,Temple University,USA,0.5789,0.7404,0.9753,1.0,0.3253,0.3515,0.6289,0.3483,0.2414,0.0227,2015
382,University of Milan - Bicocca,Italy,0.0702,1.0,1.0,1.0,0.3894,0.3071,0.3527,0.3233,0.5368,0.0225,2015
383,University of Turku,Finland,0.0088,1.0,0.9364,1.0,0.3193,0.3212,1.0,0.3293,0.6517,0.0223,2015
384,Chonnam National University,South Korea,0.0395,1.0,0.9647,1.0,0.4044,0.5939,0.6289,0.4364,0.1241,0.0223,2015
385,University of Lorraine,France,0.0658,0.5874,0.3746,0.871,0.3103,0.3444,0.3946,0.4364,0.2379,0.022,2015
386,National Chiao Tung University,Taiwan,0.0088,1.0,0.3622,1.0,0.2392,0.6566,0.5265,0.4124,1.0,0.0218,2015
387,Catholic University of the Sacred Heart,Italy,0.0746,1.0,0.9788,1.0,0.4234,0.4859,0.3946,0.3233,0.8839,0.0214,2015
388,"University at Albany, SUNY",USA,0.5833,0.4891,1.0,0.7558,0.4104,0.3768,0.2602,0.3524,0.6092,0.0214,2015
389,Xi'an Jiaotong University,China,0.0526,1.0,0.2703,1.0,0.2703,0.5879,1.0,0.6056,0.1989,0.0213,2015
390,Ewha Womans University,South Korea,0.0439,1.0,1.0,1.0,0.4615,0.5131,0.7941,0.4565,0.1218,0.0211,2015
391,Jilin University,China,0.057,0.5984,0.5954,1.0,0.2382,0.4556,0.7941,0.3744,0.6322,0.0211,2015
392,Tokyo Medical and Dental University,Japan,0.0614,1.0,1.0,1.0,0.4725,0.3545,0.7941,0.3343,0.3115,0.0211,2015
393,Scuola Normale Superiore di Pisa,Italy,0.0789,0.7158,1.0,0.2765,0.5475,0.5303,0.3946,0.5025,1.0,0.0211,2015
394,University of Central Florida,USA,0.5877,1.0,0.8834,1.0,0.3804,0.3889,0.6289,0.3804,0.1816,0.0207,2015
395,Innsbruck Medical University,Austria,0.0132,1.0,1.0,1.0,0.4685,0.4162,1.0,0.3233,0.7782,0.0207,2015
396,Beijing Normal University,China,0.0614,0.153,1.0,1.0,0.3624,0.496,0.5265,0.4795,0.8667,0.0205,2015
397,Polytechnic University of Milan,Italy,0.0833,0.2787,0.318,0.8756,0.3574,0.5141,0.5265,0.5025,0.3345,0.0205,2015
398,University of Seville,Spain,0.0395,1.0,0.9947,1.0,0.3383,0.5202,0.5265,0.5285,0.1184,0.0205,2015
399,University of Nebraska Medical Center,USA,0.5921,1.0,1.0,1.0,0.4625,0.402,0.4525,0.3433,0.2897,0.0204,2015
400,Huazhong University of Science and Technology,China,0.0658,1.0,0.4965,1.0,0.2182,0.6313,0.7941,0.4795,0.277,0.0204,2015
401,Kyung Hee University,South Korea,0.0482,0.6667,0.8728,1.0,0.3794,0.5889,0.7941,0.5576,0.108,0.0204,2015
402,Chalmers University of Technology,Sweden,0.0351,0.9836,0.5477,1.0,0.3664,0.4293,0.5265,0.3483,1.0,0.0204,2015
403,Brigham Young University,USA,0.5965,0.8115,0.636,1.0,0.4975,0.4273,0.3527,0.4234,0.1529,0.0202,2015
404,University of Campinas,Brazil,0.0088,1.0,1.0,1.0,0.2943,0.5798,0.6289,0.3874,0.2253,0.02,2015
405,University of Bath,United Kingdom,0.1447,1.0,0.6484,1.0,0.3874,0.3808,0.3527,0.3524,0.5483,0.02,2015
406,Saint Petersburg State University,Russia,0.0088,0.1257,0.4399,1.0,0.6206,0.5788,0.7941,0.7538,0.9368,0.02,2015
407,National Tsing Hua University,Taiwan,0.0132,0.7131,0.917,1.0,0.2372,0.4283,0.5265,0.3744,0.8391,0.02,2015
408,University of Twente,Netherlands,0.0482,1.0,0.9011,1.0,0.3423,0.5152,0.4525,0.3574,0.3299,0.02,2015
409,University of Alabama - Tuscaloosa,USA,0.6009,0.8852,0.2456,1.0,0.5105,0.4939,0.4525,0.4705,0.3598,0.02,2015
410,Harbin Institute of Technology,China,0.0702,1.0,0.4293,1.0,0.2402,0.8545,0.7941,0.4364,0.4299,0.02,2015
411,University of Verona,Italy,0.0877,1.0,1.0,1.0,0.5075,0.4677,0.2602,0.3403,0.8448,0.0198,2015
412,Oklahoma State University–Stillwater,USA,0.6053,0.6503,0.2686,1.0,0.4464,0.6535,0.5265,0.4705,0.3471,0.0198,2015
